,and,,just,then,is,it,one,have,no,three,to,you,#total,do,we,0000,that,here,two,a,on,i,of,up,this,so,can,the
3552 Game1-3,35,0,13,3,3,15,12,15,4,7,16,30,950,3,24,0,23,8,9,2,4,43,12,16,0,13,13,20
3552 Game1-4,43,0,27,32,7,32,21,23,3,7,30,65,1682,21,21,0,60,5,13,5,4,106,22,10,0,29,28,18
3601 Game1-1,66,0,20,47,10,17,26,18,12,12,21,58,1796,31,56,0,60,18,13,18,7,73,23,14,0,22,37,17
3601 Game1-2,101,0,36,69,29,48,47,37,18,17,86,145,3564,34,66,0,128,13,22,35,20,134,60,42,0,94,32,64
3601 Game1-3,17,0,15,20,10,19,17,30,7,10,20,61,1262,10,18,0,44,10,18,9,4,78,9,7,0,71,24,18
4001 Game1-1,41,0,15,35,16,32,37,17,18,17,14,80,1806,20,37,0,54,9,31,12,8,62,29,22,0,57,35,34
4001 Game1-2,51,0,9,33,8,45,35,24,20,17,55,65,2029,12,39,0,50,16,27,12,25,78,34,5,0,39,42,30
4001 Game1-3,24,0,4,25,8,24,27,13,4,6,34,53,1355,11,45,0,27,20,13,8,2,48,12,1,0,31,16,30
4001 Game1-4,2,0,1,0,0,3,7,3,1,1,1,2,171,3,1,0,3,0,5,1,1,7,6,0,0,6,1,2
4052 Game1-1,50,0,37,34,15,38,46,41,10,16,42,56,1949,13,44,0,51,17,31,12,9,89,41,10,0,42,28,45
4052 Game1-2,22,0,5,18,3,20,19,5,6,10,16,17,942,5,16,0,15,10,17,10,5,45,16,9,0,23,6,18
4052 Game1-3,38,0,7,15,2,16,29,12,5,5,19,25,1031,6,22,0,22,8,9,7,4,54,19,3,0,18,21,12
4101 Game1-1,20,0,6,17,4,11,12,19,12,4,23,20,814,7,8,0,18,4,14,2,2,46,19,16,0,19,12,22
4101 Game1-2,18,0,0,2,1,1,2,5,3,3,12,18,437,2,2,0,7,1,3,0,4,24,13,6,0,14,9,16
4101 Game1-3,16,0,6,10,1,6,10,10,8,2,13,34,585,5,8,0,12,4,4,4,1,38,9,7,0,15,20,5
4101 Game1-4,6,0,4,3,1,6,4,5,1,3,6,16,320,4,1,0,5,1,5,0,0,19,6,6,0,2,7,6
4152 Game1-1,28,0,4,25,12,24,32,25,6,16,30,42,1182,9,14,0,22,12,20,2,6,53,29,12,0,42,16,30
4152 Game1-2,21,0,4,21,15,5,20,10,12,8,22,24,1125,15,7,0,33,4,17,7,4,66,16,13,0,46,11,16
4152 Game1-3,28,0,6,16,8,9,11,19,6,5,24,29,1014,13,24,0,24,6,13,3,10,44,27,5,0,27,9,43
4201 Game1-1,18,0,8,16,1,12,20,4,4,8,12,19,786,8,16,0,25,2,9,0,5,45,11,2,0,10,11,13
4201 Game1-2,18,0,6,18,16,15,23,13,5,14,15,27,920,10,15,0,32,3,23,6,6,41,27,6,0,26,14,15
4201 Game1-3,38,0,11,23,5,13,31,17,3,6,26,34,1230,16,19,0,30,6,13,3,11,50,18,8,0,33,21,27
4252 Game1-1,17,0,6,7,2,19,16,20,7,12,33,36,1022,13,13,0,22,7,10,5,9,56,14,6,0,24,29,10
4252 Game1-2,30,0,19,12,6,21,19,24,11,16,29,64,1598,20,60,0,24,21,24,9,11,58,24,12,0,57,33,45
4252 Game1-3,23,0,6,6,4,12,11,8,10,4,16,27,819,7,17,0,17,5,12,3,4,47,15,1,0,21,14,12
4252 Game1-4,76,0,35,36,19,57,39,41,11,15,69,128,3644,26,114,0,106,11,24,34,17,112,45,15,0,103,71,105
4352 Game1-1,47,0,10,39,9,58,39,23,9,28,36,71,2396,20,59,0,92,12,39,21,8,119,27,23,0,49,37,42
4352 Game1-2,77,0,37,55,15,48,44,50,13,18,85,126,2728,26,38,0,83,16,28,39,19,111,31,43,0,58,60,42
4352 Game1-3,31,0,11,21,7,28,38,12,3,11,33,42,1399,21,19,0,35,8,13,14,16,73,27,14,0,31,27,21
4401 Game1-1,32,0,8,12,5,13,9,9,10,9,19,33,959,5,12,0,21,11,18,6,7,37,8,6,0,23,6,20
4401 Game1-2,28,0,11,18,2,16,28,14,14,14,22,57,1214,20,28,0,30,7,19,8,12,42,7,10,0,32,31,21
4401 Game1-3,37,0,11,18,3,7,5,7,1,7,15,25,767,6,3,0,15,4,9,3,9,53,10,10,0,16,9,12
