,ppron,adverb,preps,verb,quant,negate,auxverb,conj,#total
5052 Game1-4,13.39977852,8.305647841,7.419712071,32.55813953,1.328903654,5.315614618,26.24584718,9.634551495,1
5101 Game1-1,11.08071135,6.292749658,10.39671683,28.45417237,2.18878249,4.240766074,21.06703146,9.575923393,1
5101 Game1-2,11.50769231,10.52307692,10.15384615,25.53846154,1.292307692,3.938461538,18.15384615,8.861538462,1
5101 Game1-3,13.24278438,6.451612903,10.10186757,29.45670628,1.697792869,4.15959253,21.81663837,8.149405773,1
5152 Game1-1,9.173333333,8.48,8.693333333,26.24,2.56,2.56,20.85333333,8.96,1
5152 Game1-2,12.39349342,7.281177382,9.759876065,29.7443842,2.091402014,3.175832688,22.30828815,12.54841208,1
5152 Game1-3,11.66666667,8.771929825,7.763157895,30.74561404,2.412280702,4.122807018,24.60526316,9.692982456,1
5152 Game1-4,8.550573514,6.777893639,9.280500521,25.44316997,1.147028154,3.54535975,20.33368092,7.924921794,1
5201 Game1-1,11.83836084,7.569721116,8.366533865,32.04325555,1.25213432,3.984063745,24.13204326,8.309618668,1
5201 Game1-2,8.938547486,8.193668529,10.24208566,27.37430168,0.931098696,1.489757914,19.73929237,9.310986965,1
5201 Game1-3,10.47553411,10.13094418,8.683666437,29.91040662,1.447277739,3.170227429,22.67401792,10.95796003,1
5201 Game1-4,11.69811321,7.81671159,9.380053908,31.32075472,1.725067385,4.851752022,23.71967655,9.48787062,1
5252 Game1-1,11.63434903,6.648199446,9.695290859,33.24099723,1.662049862,3.601108033,25.48476454,5.263157895,1
5252 Game1-2,8.413132695,9.781121751,8.139534884,28.24897401,1.162790698,4.035567715,22.57181943,8.891928865,1
5252 Game1-3,10.91492777,8.025682183,7.303370787,32.74478331,2.006420546,4.414125201,26.56500803,10.6741573,1
5252 Game1-4,10.6545961,7.86908078,8.913649025,28.13370474,2.019498607,3.760445682,20.82172702,7.86908078,1
5301 Game1-1,11.51761518,8.039747064,9.259259259,29.90063234,1.08401084,3.974706414,20.82204155,10.25293586,1
5301 Game1-2,12.21804511,7.518796992,9.022556391,32.14285714,2.819548872,2.443609023,22.7443609,9.210526316,1
